index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
0,1.0,0.19257311100000002,0.186276314,1.4912,1.7233,1.6372,3148.0,423.0
2,3.0,0.193239296,0.190980261,1.67,1.6086,2.0374,3460.0,448.0
4,5.0,0.20211322199999998,0.199160557,1.6778,1.6855,2.0529,3430.0,485.0
12,13.0,0.214706667,0.212278959,2.1758,2.7908,2.8160000000000003,2974.0,256.0
14,15.0,0.21127807399999998,0.20876242899999997,2.0857,2.7348,2.4716,3621.0,494.0
16,17.0,0.211020741,0.208781827,1.9054,2.7438,2.2975,2835.0,254.0
18,19.0,0.189895852,0.18719770600000002,1.5302,1.6806,1.6675,3382.0,454.0
20,21.0,0.191967815,0.18870657100000002,1.5839,1.5714,1.7865,3299.0,469.0
25,31.0,0.207933037,0.204953548,1.9673,2.5426,2.4473,3482.0,471.0
26,33.0,0.21201488899999998,0.20898827399999997,2.0796,2.7578,2.7262,2777.0,246.0
27,35.0,0.193709185,0.19105923800000002,1.4755,1.8841,1.4256,3118.0,418.0
28,37.0,0.189644741,0.186802823,1.6028,1.6149,1.7664,3201.0,462.0
29,39.0,0.19478692600000003,0.19169382,1.5392,1.5722,1.5667,3292.0,462.0
33,47.0,0.209877444,0.20718428600000002,2.0152,2.1537,2.5804,3167.0,298.0
34,49.0,0.20544974100000002,0.20193720199999998,1.8833,2.1987,2.4005,3028.0,293.0
35,51.0,0.205503333,0.202972209,1.5537,2.0913,2.1383,3815.0,577.0
36,53.0,0.19393537,0.191278155,1.5308,1.6381,1.5490000000000002,4001.0,675.0
37,55.0,0.19380503699999999,0.190829236,1.5904,1.3991,1.505,4337.0,621.0
42,65.0,0.199428667,0.19533920600000002,1.5943,1.7662,2.2112,3347.0,287.0
43,67.0,0.200902778,0.197387051,1.5530000000000002,1.7877,2.1994,3930.0,588.0
44,69.0,0.19615888899999998,0.19389407600000003,1.3205,1.6369999999999998,1.4178,4416.0,597.0
45,71.0,0.194572926,0.1921081,1.4168,1.4988,1.757,4406.0,605.0
50,81.0,0.203914889,0.200731773,1.4641,1.6218,2.037,3350.0,306.0
51,83.0,0.198224667,0.195207579,1.4883,1.6771,1.9874,3281.0,293.0
108,205.0,0.182046593,0.178697347,0.9063,1.1494,1.0841,2470.0,230.0
110,207.0,0.189366111,0.186976017,1.0004,1.203,1.3351,2328.0,255.0
112,209.0,0.193356185,0.19112713,1.4061,1.6029,1.4523,2442.0,225.0
117,217.0,0.20562063,0.203030403,2.0764,1.9665,1.5987,2546.0,228.0
119,219.0,0.198507519,0.19410745100000001,2.0429,1.8488,1.4916,2607.0,220.0
121,221.0,0.194380037,0.192030509,1.7838,1.5859999999999999,1.4516,2598.0,226.0
123,223.0,0.195072148,0.192825816,1.3987,1.3171,1.4635,2342.0,137.0
125,225.0,0.205971407,0.203876975,1.6769999999999998,1.5090000000000001,1.57,2193.0,136.0
131,235.0,0.20970755600000002,0.20396426399999998,2.157,2.0513,1.5829,2383.0,137.0
133,237.0,0.19889444399999998,0.19488197399999999,2.0393,1.8475,1.466,2379.0,133.0
135,239.0,0.192391704,0.18953790199999998,1.2576,1.6549,1.2063,2126.0,137.0
137,241.0,0.201417667,0.198837724,1.6167,1.6565,1.5264,2261.0,135.0
139,243.0,0.20958129600000003,0.20757778300000002,1.8393,1.8117,1.6374,2174.0,130.0
143,251.0,0.21497044399999998,0.209058937,2.4405,2.2454,1.9218,2241.0,136.0
145,253.0,0.21083674100000002,0.20721061100000002,2.4009,2.2571,1.6885,2478.0,123.0
147,255.0,0.20176611100000003,0.199432125,1.9403,1.9838,1.5632,2331.0,131.0
149,257.0,0.190472296,0.18782536,1.5501,1.5273,1.4871,2059.0,122.0
151,259.0,0.20425644399999998,0.20237088,1.7983,1.4599,1.4715,2125.0,153.0
157,269.0,0.21732014800000002,0.214475058,3.4238,2.4311,1.9431,2247.0,127.0
159,271.0,0.206245333,0.203346308,2.9821,2.168,1.7279,2264.0,127.0
161,273.0,0.18923414800000002,0.186169626,1.2605,1.6652,1.4163,2010.0,123.0
