case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s]
1.0,0.216584185,0.213556437,2.189524736321486,3.4376299708110682,3.9883308652068723,1.0,1.0
3.0,0.226484556,0.224420547,2.413072535101114,3.2068627602420445,5.605854273340577,3.0,3.0
5.0,0.218557593,0.216043502,2.698495606972943,2.3228907565988566,3.5688214154632067,5.0,5.0
7.0,0.210095741,0.20742952899999997,1.8049776463184735,2.3426961042331866,2.9527220462957335,7.0,7.0
9.0,0.21072144399999998,0.20932912,1.1401504916367613,2.636307627240739,1.827812898998055,9.0,9.0
11.0,0.222721074,0.221549684,2.3777310079529244,3.0930470207511735,2.2021161244437613,11.0,11.0
13.0,0.210782556,0.20945797600000002,2.6709199740169507,2.582361760630547,2.025984727007584,13.0,13.0
15.0,0.227242704,0.22635754800000002,4.065852084449724,4.2283343418666535,5.232085455023764,15.0,15.0
17.0,0.21413770399999998,0.213140772,2.322679500224182,3.185119952018134,4.385224056929876,17.0,17.0
19.0,0.218900741,0.218004058,2.5696194434562956,3.3492152093727534,4.736189854232747,19.0,19.0
21.0,0.20540403699999998,0.204086193,2.0886925860809975,2.33093374295164,3.2248400322372044,21.0,21.0
23.0,0.20509274100000002,0.203592936,2.3026879636327493,2.478315747453462,2.6986747334461647,23.0,23.0
25.0,0.216295667,0.214713373,1.619073268547837,3.782522445627145,2.0430696458712294,25.0,25.0
27.0,0.218898593,0.21759532,1.5689079467531977,2.746770444012296,2.092601335532735,27.0,27.0
29.0,0.23547911100000002,0.234251034,4.459454701928983,5.479603806961848,4.88747608568997,29.0,29.0
31.0,0.213827185,0.212026788,2.001209974524487,4.342271062394358,3.1816692974527454,31.0,31.0
33.0,0.221827222,0.22065046100000002,1.8750230030026729,3.6153972423218996,4.414742316432727,33.0,33.0
35.0,0.21158888899999997,0.21028930699999998,2.644187621214084,2.431966507749423,3.896633771826764,35.0,35.0
37.0,0.20935114800000001,0.20806134,2.4059574323162707,2.36053213085655,3.707038430898508,37.0,37.0
39.0,0.204727889,0.202715882,1.6886763237683748,2.5417145048390717,2.40512482918313,39.0,39.0
41.0,0.213673074,0.21228173,1.93171922556912,2.592651310288681,2.2703596904473042,41.0,41.0
43.0,0.21184540699999999,0.21029762,2.4070714299462264,3.2761566239008273,2.7538531000761317,43.0,43.0
45.0,0.233522037,0.232240599,5.05841978356026,3.853999151256647,5.459210647241724,45.0,45.0
47.0,0.210662481,0.208204052,2.2414786018124953,1.9845083233145702,4.079850011783823,47.0,47.0
53.0,0.207077185,0.20560060100000002,2.335238094913598,2.4427894007052933,3.337973026798455,53.0,53.0
91.0,0.211976074,0.210698045,2.587455629908678,2.7973572087284713,2.45050630880331,91.0,91.0
93.0,0.20490066699999998,0.203368477,1.6462790482144454,2.5523188994776125,2.736499950323496,93.0,93.0
95.0,0.203997593,0.202559315,1.6819380876342147,2.586188334345904,2.7301272639350582,95.0,95.0
97.0,0.190024852,0.188041507,1.4623241418720216,2.1424670791346725,2.528835112578588,97.0,97.0
99.0,0.19489855600000008,0.192527922,2.143488513949872,1.6445696226328868,2.5642342901297375,99.0,99.0
101.0,0.205272889,0.20298329399999998,2.5577037208980524,2.633524855166702,2.5314742991677157,101.0,101.0
103.0,0.220806963,0.219076474,3.148597268609561,3.2440002944490485,4.476358273966838,103.0,103.0
105.0,0.235648296,0.23308024300000002,4.61216476051414,4.674088641745836,4.686569380596116,105.0,105.0
107.0,0.20730774100000002,0.204798366,2.871172498000253,2.902270423867537,2.8788024686363785,107.0,107.0
109.0,0.200230037,0.197492353,1.972057828009434,2.295099383014799,2.7271690824863275,109.0,109.0
111.0,0.196428926,0.194385947,1.6579798248740831,2.4535350022540285,3.108661368628216,111.0,111.0
113.0,0.18888074100000002,0.18623336199999999,1.5232089400673732,1.9821198001324118,2.1938683171853968,113.0,113.0
115.0,0.19290851899999997,0.188288135,1.9403352645264613,1.926554279737434,2.1646345218473266,115.0,115.0
117.0,0.20102885199999998,0.199282486,2.3523669983361772,1.742804495104255,3.4505172391101038,117.0,117.0
119.0,0.222460852,0.221165886,2.598778468007108,3.649645967048477,3.7476105268151034,119.0,119.0
121.0,0.214447222,0.21339017100000002,2.44896786325929,3.781719999932667,3.3644179537311603,121.0,121.0
123.0,0.201270852,0.200062551,1.8947722438034647,2.4547464756169477,3.547574678344448,123.0,123.0
125.0,0.19876544399999999,0.19744385899999997,1.3323147889724192,2.377470704412895,1.9650706016386086,125.0,125.0
127.0,0.172001,0.16962337100000002,0.7309655080106916,1.121305628265435,1.6470614934110266,127.0,127.0
129.0,0.177426556,0.17498961100000002,1.7347232604131695,1.370030965191214,1.8760366424125654,129.0,129.0
131.0,0.19400807399999997,0.191358517,1.9186944005141013,1.339820797865099,2.5641359048637913,131.0,131.0
133.0,0.210400333,0.20878459800000002,1.8890218780562316,2.510500514376074,3.227838245665823,133.0,133.0
135.0,0.21816311100000002,0.216897002,1.972334507896811,2.950616901643384,3.332495902982837,135.0,135.0
137.0,0.207045037,0.205671264,1.9813213515551196,2.952179506368436,2.3327035471306568,137.0,137.0
143.0,0.176663519,0.173854845,0.7214344804486703,1.890212560083317,1.3711198964316105,143.0,143.0
1351.0,0.22290437,0.221625889,3.573212099100365,3.5372018032088968,2.899847925770585,1351.0,1351.0
1353.0,0.222311111,0.220886005,3.766378131501377,4.5182936915869,4.160344681274964,1353.0,1353.0
1355.0,0.19750563,0.19596409,1.8867552967298398,2.6277835795456235,2.191898486583777,1355.0,1355.0
1357.0,0.199450519,0.197000482,2.877072011377261,4.1787823209918225,2.944326791872715,1357.0,1357.0
1359.0,0.186381593,0.18452774800000002,1.7885126061903351,1.7021053566905335,2.592055554486687,1359.0,1359.0
1361.0,0.194997963,0.192850756,1.709077154152506,2.1819496452638094,2.6262201879608744,1361.0,1361.0
1363.0,0.216581296,0.214910121,1.629760499823796,1.7760353729818874,3.2090239662879894,1363.0,1363.0
1365.0,0.21943037,0.21810104600000002,1.8853877459561375,2.846331124541605,3.6995193018686257,1365.0,1365.0
1367.0,0.21228174100000002,0.21082413,2.525911181008538,3.0533930171932733,2.6183997563374026,1367.0,1367.0
1369.0,0.213306296,0.21113865,2.4645165529678175,3.614963357320474,3.09529677628455,1369.0,1369.0
1371.0,0.20097614800000002,0.199236763,2.25497790597157,3.5926406145708247,2.322691006215271,1371.0,1371.0
1373.0,0.21488944399999999,0.214102345,2.5897065304127915,4.771530334104998,3.3665446632272147,1373.0,1373.0
1375.0,0.206795111,0.205571504,2.339208041784249,2.0244845990893694,2.168148828202113,1375.0,1375.0
